"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attachment","tests","Sat Mar 08 12:19:39 GMT 2025","passed","Sat Mar 08 12:19:39 GMT 2025","","test_attachment","",""
"","256","test_github","tests","Sat Mar 08 12:19:39 GMT 2025","broken","Sat Mar 08 12:19:39 GMT 2025","","test_selene","",""
"","7061","test_github","tests.draft","Sat Mar 08 12:19:32 GMT 2025","broken","Sat Mar 08 12:19:39 GMT 2025","","test_selene_lecture","",""
"","204","test_decorator_labels","tests","Sat Mar 08 12:19:39 GMT 2025","broken","Sat Mar 08 12:19:39 GMT 2025","","test_labels","",""
"","204","test_decorator_steps","tests","Sat Mar 08 12:19:39 GMT 2025","broken","Sat Mar 08 12:19:40 GMT 2025","","test_steps_decorator","",""
"","260","test_dynamic_steps","tests","Sat Mar 08 12:19:40 GMT 2025","broken","Sat Mar 08 12:19:40 GMT 2025","","test_steps_dynamic","",""
