"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","test_decorator_steps","tests","Sat Mar 08 12:26:52 GMT 2025","broken","Sat Mar 08 12:26:52 GMT 2025","","test_steps_decorator","",""
"","202","test_decorator_labels","tests","Sat Mar 08 12:26:52 GMT 2025","broken","Sat Mar 08 12:26:52 GMT 2025","","test_labels","",""
"","199","test_github","tests","Sat Mar 08 12:26:52 GMT 2025","broken","Sat Mar 08 12:26:52 GMT 2025","","test_selene","",""
"","0","test_attachment","tests","Sat Mar 08 12:26:52 GMT 2025","passed","Sat Mar 08 12:26:52 GMT 2025","","test_attachment","",""
"","203","test_dynamic_steps","tests","Sat Mar 08 12:26:53 GMT 2025","broken","Sat Mar 08 12:26:53 GMT 2025","","test_steps_dynamic","",""
"","13657","test_github","tests.draft","Sat Mar 08 12:26:38 GMT 2025","broken","Sat Mar 08 12:26:52 GMT 2025","","test_selene_lecture","",""
