"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_dynamic_labels","tests","Sat Mar 08 09:39:18 GMT 2025","passed","Sat Mar 08 09:39:18 GMT 2025","","test_labels","",""
"","201","test_decorator_steps","tests","Sat Mar 08 09:39:20 GMT 2025","broken","Sat Mar 08 09:39:21 GMT 2025","","test_steps","",""
"","0","test_decorator_labels","tests","Sat Mar 08 09:39:18 GMT 2025","passed","Sat Mar 08 09:39:18 GMT 2025","","test_labels","",""
"","0","test_no_labels","tests","Sat Mar 08 09:39:18 GMT 2025","passed","Sat Mar 08 09:39:18 GMT 2025","","test_labels","",""
"","1576","test_github","tests","Sat Mar 08 09:39:18 GMT 2025","broken","Sat Mar 08 09:39:20 GMT 2025","","test_selene","",""
"","256","test_dynamic_steps","tests","Sat Mar 08 09:39:20 GMT 2025","broken","Sat Mar 08 09:39:20 GMT 2025","","test_steps","",""
"","1","test_attachment","tests","Sat Mar 08 09:39:18 GMT 2025","passed","Sat Mar 08 09:39:18 GMT 2025","","test_attachment","",""
"","201","test_github_new","tests","Sat Mar 08 09:39:20 GMT 2025","broken","Sat Mar 08 09:39:20 GMT 2025","","test_selene","",""
