"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attachment","tests","Fri Mar 07 22:12:48 GMT 2025","passed","Fri Mar 07 22:12:48 GMT 2025","","test_attachment","",""
"","202","test_decorator_steps","tests","Fri Mar 07 22:12:50 GMT 2025","broken","Fri Mar 07 22:12:50 GMT 2025","","test_steps","",""
"","0","test_dynamic_labels","tests","Fri Mar 07 22:12:48 GMT 2025","passed","Fri Mar 07 22:12:48 GMT 2025","","test_labels","",""
"","0","test_no_labels","tests","Fri Mar 07 22:12:48 GMT 2025","passed","Fri Mar 07 22:12:48 GMT 2025","","test_labels","",""
"","1312","test_github","tests","Fri Mar 07 22:12:48 GMT 2025","broken","Fri Mar 07 22:12:49 GMT 2025","","test_selene","",""
"","201","test_dynamic_steps","tests","Fri Mar 07 22:12:50 GMT 2025","broken","Fri Mar 07 22:12:50 GMT 2025","","test_steps","",""
"","199","test_github_new","tests","Fri Mar 07 22:12:49 GMT 2025","broken","Fri Mar 07 22:12:50 GMT 2025","","test_selene","",""
"","0","test_decorator_labels","tests","Fri Mar 07 22:12:48 GMT 2025","passed","Fri Mar 07 22:12:48 GMT 2025","","test_labels","",""
